,序号,第1名,第2名,第3名,第4名,第5名,第6名,第7名,第8名,第9名,第10名
0,2022-12-01,通润装备,中国武夷,美利云,中国科传,福石控股,中铁装配,渝开发,三湘印象,榕基软件,易华录
1,2022-12-02,通润装备,美利云,中国武夷,中国科传,福石控股,易华录,浙数文化,中铁装配,宏微科技,朗进科技
2,2022-12-05,通润装备,中国科传,美利云,易华录,中铁装配,中国武夷,福石控股,中国海诚,浙数文化,宏微科技
3,2022-12-06,通润装备,中国科传,美利云,易华录,宏微科技,中铁装配,人民网,中国武夷,信雅达,卓朗科技
4,2022-12-07,通润装备,人民网,中国科传,信雅达,美利云,卓朗科技,易华录,宏微科技,中铁装配,中国武夷
5,2022-12-08,通润装备,中国科传,美利云,宏微科技,中铁装配,易华录,人民网,卓朗科技,中国武夷,信雅达
6,2022-12-09,通润装备,中国科传,美利云,宏微科技,易华录,卓朗科技,中铁装配,中成股份,芯碁微装,中国武夷
7,2022-12-12,通润装备,卓朗科技,中国科传,宏微科技,易华录,芯碁微装,中铁装配,人民网,美利云,晶晨股份
8,2022-12-13,通润装备,卓朗科技,中国科传,易华录,宏微科技,中铁装配,中国武夷,中国海诚,人民网,幸福蓝海
9,2022-12-14,通润装备,中国科传,卓朗科技,黑芝麻,宏微科技,中铁装配,易华录,中青旅,汉王科技,云赛智联
10,2022-12-15,通润装备,中国科传,广汇物流,易华录,云赛智联,卓朗科技,人民网,中铁装配,黑芝麻,中国武夷
11,2022-12-16,通润装备,中国科传,黑芝麻,易华录,天顺股份,人民网,中国武夷,中铁装配,卓朗科技,广汇物流
12,2022-12-19,通润装备,中国科传,黑芝麻,天顺股份,中国武夷,中青旅,人民网,云赛智联,中铁装配,西安旅游
13,2022-12-20,通润装备,天顺股份,黑芝麻,中国科传,易天股份,中国武夷,中青旅,人民网,卓朗科技,云赛智联
14,2022-12-21,通润装备,天顺股份,人民网,黑芝麻,西安旅游,中青旅,易天股份,曲江文旅,卓朗科技,卓然股份
15,2022-12-22,通润装备,天顺股份,黑芝麻,人民网,西安旅游,中青旅,卓朗科技,易天股份,卓然股份,曲江文旅
16,2022-12-23,通润装备,人民网,黑芝麻,天顺股份,西安旅游,卓朗科技,佳华科技,中青旅,云赛智联,易天股份
17,2022-12-26,人民网,通润装备,三五互联,西安旅游,黑芝麻,卓朗科技,云赛智联,佳华科技,中青旅,易天股份
18,2022-12-27,人民网,黑芝麻,西安旅游,卓朗科技,通润装备,敦煌种业,天顺股份,三五互联,佳华科技,云赛智联
19,2022-12-28,人民网,西安旅游,黑芝麻,卓朗科技,佳华科技,曲江文旅,卓然股份,通润装备,云赛智联,易天股份
20,2022-12-29,西安旅游,卓朗科技,黑芝麻,人民网,安妮股份,曲江文旅,卓然股份,佳华科技,易天股份,祥源文旅
21,2022-12-30,西安旅游,黑芝麻,卓朗科技,安妮股份,人民网,曲江文旅,三五互联,中科云网,祥源文旅,卓然股份
22,2023-01-03,黑芝麻,西安旅游,卓朗科技,安妮股份,三五互联,卓然股份,人民网,文一科技,久其软件,曲江文旅
23,2023-01-04,黑芝麻,安妮股份,西安旅游,久其软件,卓朗科技,三五互联,慈文传媒,卓然股份,佳华科技,文一科技
24,2023-01-05,安妮股份,黑芝麻,三五互联,西安旅游,卓朗科技,文一科技,久其软件,易天股份,美利云,哈尔斯
25,2023-01-06,黑芝麻,安妮股份,卓朗科技,久其软件,西安旅游,三五互联,文一科技,佳华科技,易天股份,芒果超媒
26,2023-01-09,黑芝麻,安妮股份,西安旅游,久其软件,三五互联,卓朗科技,文一科技,佳华科技,中富电路,易天股份
27,2023-01-10,安妮股份,黑芝麻,久其软件,西安旅游,三五互联,三人行,佳华科技,易天股份,文一科技,敏芯股份
28,2023-01-11,安妮股份,黑芝麻,久其软件,三五互联,实益达,永贵电器,众业达,西安旅游,卓朗科技,佳华科技
29,2023-01-12,安妮股份,黑芝麻,三五互联,众业达,久其软件,电子城,佳华科技,实益达,天威视讯,游族网络
30,2023-01-13,安妮股份,黑芝麻,电子城,三五互联,天威视讯,众业达,卓朗科技,久其软件,实益达,游族网络
31,2023-01-16,安妮股份,久其软件,黑芝麻,卓朗科技,三五互联,电子城,泰永长征,天威视讯,众业达,二六三
32,2023-01-17,安妮股份,久其软件,泰永长征,卓朗科技,天威视讯,三五互联,钱江摩托,游族网络,三人行,恒久科技
33,2023-01-18,久其软件,泰永长征,安妮股份,卓朗科技,深信服,三五互联,恒久科技,珠江钢琴,钱江摩托,顶点软件
34,2023-01-19,恒久科技,久其软件,泰永长征,顶点软件,深信服,卓朗科技,三五互联,安妮股份,钱江摩托,太极股份
