,序号,第1名,第2名,第3名,第4名,第5名,第6名,第7名,第8名,第9名,第10名,第11名,第12名,第13名,第14名,第15名,第16名,第17名,第18名,第19名,第20名
0,2023-07-03,中马传动,昊志机电,华西股份,南方精工,华脉科技,鼎捷软件,太辰光,鼎通科技,威龙股份,步科股份,优德精密,深南电A,新时达,铭普光磁,东田微,襄阳轴承,赛力斯,林州重机,亚康股份,润达医疗
1,2023-07-04,昊志机电,中马传动,优德精密,南方精工,林州重机,步科股份,华西股份,鼎通科技,太辰光,新时达,鼎捷软件,德迈仕,襄阳轴承,赛力斯,浙江世宝,上海物贸,东田微,华脉科技,铭普光磁,威龙股份
2,2023-07-05,昊志机电,林州重机,中马传动,德迈仕,华西股份,优德精密,浙江世宝,太辰光,赛力斯,南方精工,新时达,鼎捷软件,步科股份,鼎通科技,飞龙股份,润达医疗,光智科技,东田微,威龙股份,富信科技
3,2023-07-06,德迈仕,昊志机电,中马传动,浙江世宝,华西股份,步科股份,优德精密,赛力斯,新时达,林州重机,鼎通科技,太辰光,光智科技,鼎捷软件,飞龙股份,东田微,富信科技,拓维信息,云南锗业,中大力德
4,2023-07-07,优德精密,浙江世宝,德迈仕,昊志机电,华西股份,中马传动,赛力斯,鼎通科技,步科股份,新时达,云南锗业,光智科技,太辰光,鼎捷软件,林州重机,深南电A,德恩精工,英联股份,恒帅股份,共进股份
5,2023-07-10,浙江世宝,昊志机电,优德精密,德迈仕,新时达,赛力斯,中马传动,华西股份,深南电A,步科股份,太辰光,云南锗业,鼎捷软件,瑞玛精密,英联股份,光智科技,德恩精工,中捷精工,双环传动,华安鑫创
6,2023-07-11,昊志机电,浙江世宝,赛力斯,德迈仕,中马传动,新时达,优德精密,华西股份,步科股份,瑞玛精密,云南锗业,大连热电,林州重机,德恩精工,苏常柴A,光智科技,双环传动,精锻科技,德赛西威,天迈科技
7,2023-07-12,浙江世宝,中马传动,昊志机电,大连热电,赛力斯,林州重机,京能热力,步科股份,云南锗业,德迈仕,德恩精工,新时达,万安科技,优德精密,光智科技,众泰汽车,天银机电,深南电A,瑞玛精密,双飞股份
8,2023-07-13,大连热电,昊志机电,林州重机,京能热力,中马传动,万安科技,浙江世宝,步科股份,香农芯创,赛力斯,云南锗业,光智科技,优德精密,德迈仕,永悦科技,雷尔伟,德恩精工,天银机电,顺利退,新时达
9,2023-07-14,昊志机电,浙江世宝,大连热电,中马传动,香农芯创,林州重机,京能热力,鼎捷软件,优德精密,东晶电子,万安科技,永悦科技,新时达,华是科技,步科股份,蓝丰生化,顺利退,德迈仕,赛力斯,商络电子
10,2023-07-17,浙江世宝,大连热电,中马传动,香农芯创,林州重机,恒为科技,昊志机电,鼎捷软件,万润科技,永悦科技,中富电路,蓝丰生化,京能热力,东晶电子,赢合科技,彩虹股份,德迈仕,万安科技,优德精密,众泰汽车
11,2023-07-18,浙江世宝,大连热电,林州重机,中马传动,中富电路,香农芯创,永悦科技,万润科技,众泰汽车,昊志机电,恒为科技,德迈仕,京能热力,蓝丰生化,赢合科技,彩虹股份,慈星股份,奥联电子,万安科技,锦富技术
12,2023-07-19,中马传动,浙江世宝,大连热电,林州重机,众泰汽车,香农芯创,赢合科技,中富电路,永悦科技,昊志机电,万润科技,华是科技,中央商场,襄阳轴承,奥联电子,德迈仕,万安科技,建业股份,京能热力,赫美集团
13,2023-07-20,光一退,中马传动,浙江世宝,大连热电,林州重机,众泰汽车,中央商场,华是科技,香农芯创,昊志机电,赢合科技,杰美特,中富电路,襄阳轴承,德迈仕,顾地科技,赫美集团,优德精密,亚联发展,幸福蓝海
14,2023-07-21,中央商场,众泰汽车,光一退,林州重机,大连热电,浙江世宝,赢合科技,幸福蓝海,中马传动,华是科技,中富电路,荣盛发展,香农芯创,建业股份,杰美特,赫美集团,顾地科技,永悦科技,彩虹股份,东方园林
15,2023-07-24,中央商场,华是科技,众泰汽车,大连热电,林州重机,赢合科技,香农芯创,浙江世宝,亚联发展,中富电路,金科股份,荣盛发展,东方园林,幸福蓝海,金力泰,彩虹股份,赫美集团,大连友谊,熊猫乳品,建业股份
16,2023-07-25,中央商场,华是科技,大连热电,金科股份,众泰汽车,荣盛发展,香农芯创,山水比德,浙江世宝,亚联发展,林州重机,赢合科技,慈星股份,麦趣尔,万方发展,幸福蓝海,东方园林,大连友谊,大龙地产,彩虹股份
