,序号,第1名,第2名,第3名,第4名,第5名,第6名,第7名,第8名,第9名,第10名,第11名,第12名,第13名,第14名,第15名,第16名,第17名,第18名,第19名,第20名,第21名,第22名,第23名,第24名,第25名,第26名,第27名,第28名,第29名,第30名
0,2023-02-08,海天瑞声,中航电测,云从科技-UW,汉王科技,赛为智能,奥联电子,通达动力,上海洗霸,捷荣技术,嵘泰股份,光云科技,格灵深瞳,首药控股-U,初灵信息,德尔股份,华图山鼎,青云科技-U,亚虹医药-U,同为股份,耀皮玻璃,通合科技,财富趋势,东方锆业,铜牛信息,二三四五,川大智胜,拓尔思,华锋股份,泰永长征,智能自控
1,2023-02-09,中航电测,海天瑞声,汉王科技,赛为智能,云从科技-UW,奥联电子,上海洗霸,初灵信息,通达动力,华图山鼎,金龙羽,光云科技,格灵深瞳,科大国创,同为股份,耀皮玻璃,智能自控,东方锆业,鸿博股份,亚虹医药-U,捷荣技术,珈伟新能,青云科技-U,拓尔思,通达股份,二三四五,宇通重工,金冠电气,铜牛信息,嵘泰股份
2,2023-02-10,中航电测,海天瑞声,云从科技-UW,汉王科技,赛为智能,格灵深瞳,鸿博股份,金龙羽,奥联电子,初灵信息,光云科技,耀皮玻璃,华图山鼎,智能自控,拓尔思,铜牛信息,天娱数科,科大国创,上海洗霸,通合科技,汉邦高科,同为股份,二三四五,灿勤科技,昆仑万维,德尔股份,首药控股-U,天孚通信,欧林生物,青云科技-U
3,2023-02-13,中航电测,海天瑞声,云从科技-UW,汉王科技,鸿博股份,拓尔思,格灵深瞳,初灵信息,金龙羽,光云科技,赛为智能,华图山鼎,通合科技,昆仑万维,天娱数科,泉为科技,耀皮玻璃,灿勤科技,智能自控,天孚通信,奥联电子,铜牛信息,景嘉微,迈得医疗,上海洗霸,同为股份,寒武纪-U,科大国创,香飘飘,宇通重工
4,2023-02-14,中航电测,海天瑞声,云从科技-UW,汉王科技,金龙羽,鸿博股份,初灵信息,拓尔思,泉为科技,赛为智能,通合科技,昆仑万维,格灵深瞳,天娱数科,宇通重工,灿勤科技,耀皮玻璃,同为股份,光云科技,科大国创,景嘉微,迈得医疗,华图山鼎,铜牛信息,天孚通信,上海洗霸,香飘飘,智能自控,三六零,寒武纪-U
5,2023-02-15,中航电测,海天瑞声,云从科技-UW,初灵信息,汉王科技,鸿博股份,通合科技,金龙羽,拓尔思,赛为智能,格灵深瞳,昆仑万维,泉为科技,科恒股份,科大国创,三六零,智能自控,天娱数科,灿勤科技,浪潮信息,铜牛信息,耀皮玻璃,同为股份,宇通重工,通宇通讯,万兴科技,景嘉微,光云科技,航天晨光,奥联电子
6,2023-02-16,中航电测,海天瑞声,鸿博股份,云从科技-UW,汉王科技,初灵信息,通合科技,拓尔思,金龙羽,昆仑万维,万兴科技,赛为智能,天娱数科,浪潮信息,科恒股份,三六零,格灵深瞳,光云科技,智能自控,泉为科技,青云科技-U,东方锆业,耀皮玻璃,华图山鼎,灿勤科技,宁夏建材,宇通重工,科大国创,文化退,天孚通信
7,2023-02-17,中航电测,海天瑞声,汉王科技,鸿博股份,云从科技-UW,初灵信息,拓尔思,赛为智能,通合科技,金龙羽,智能自控,天娱数科,格灵深瞳,万兴科技,浪潮信息,锐明技术,航天晨光,昆仑万维,科恒股份,灿勤科技,汤姆猫,文化退,宇通重工,因赛集团,同为股份,东方锆业,迈得医疗,耀皮玻璃,三六零,光云科技
8,2023-02-20,中航电测,海天瑞声,汉王科技,鸿博股份,云从科技-UW,拓尔思,金龙羽,通合科技,初灵信息,赛为智能,万兴科技,智能自控,因赛集团,天娱数科,昆仑万维,浪潮信息,三六零,汤姆猫,科恒股份,格灵深瞳,灿勤科技,东方锆业,宇通重工,奥联电子,同为股份,文化退,光云科技,耀皮玻璃,天孚通信,航天晨光
9,2023-02-21,中航电测,海天瑞声,汉王科技,鸿博股份,云从科技-UW,智能自控,赛为智能,通合科技,初灵信息,三六零,万兴科技,拓尔思,因赛集团,科恒股份,天娱数科,金龙羽,金冠电气,昆仑万维,浪潮信息,格灵深瞳,汤姆猫,迈得医疗,东方锆业,天孚通信,宇通重工,文化退,光云科技,寒武纪-U,同为股份,灿勤科技
10,2023-02-22,中航电测,海天瑞声,鸿博股份,汉王科技,云从科技-UW,拓尔思,初灵信息,因赛集团,金冠电气,智能自控,通合科技,赛为智能,三六零,万兴科技,浪潮信息,昆仑万维,天娱数科,迈得医疗,科恒股份,华锡有色,格灵深瞳,文化退,灿勤科技,金龙羽,博济医药,汤姆猫,东易日盛,同为股份,拓维信息,东方锆业
11,2023-02-23,中航电测,海天瑞声,鸿博股份,汉王科技,文化退,云从科技-UW,金冠电气,拓尔思,通合科技,初灵信息,赛为智能,因赛集团,三六零,智能自控,天娱数科,浪潮信息,万兴科技,迈得医疗,金龙羽,东方锆业,汤姆猫,美瑞新材,三变科技,宇通重工,科恒股份,万辰生物,华锡有色,上海洗霸,昆仑万维,退未来
