,股票名称,股票代码,涨跌幅,换手率,市盈率(动态),流通市值(万),所属行业,每股收益(元),净利润(元),净利润同比增长(%),净利润季度环比增长(%),每股净资产(元),净资产收益率(%)
0,中材科技,002080.SZ,6.81,2.05,12.14,4262433.9,玻璃,2.0923,3511154913.89,4.08,100.0964,10.293763862352,23.14
1,中国重工,601989.SH,1.02,0.36,-53.95,8723102.3,船舶,,,,,,
2,中信重工,601608.SH,3.03,1.39,121.67,1770483.07,专用机械,0.034,145516920.37,-35.78,-611.4212,1.759351801644,1.92
3,东软集团,600718.SH,-5.89,5.3,-40.46,1364999.73,软件服务,,,,,,
4,江中药业,600750.SH,3.44,2.76,23.84,1407690.81,中成药,0.94,596058708.67,17.87,-19.1067,6.180237898876,14.53
5,通宝能源,600780.SH,1.25,1.15,10.78,1023826.75,火力发电,,,,,,
6,永吉股份,603058.SH,9.97,5.93,123.58,462956.38,广告包装,0.09,37777809.64,-72.54,297.5261,2.47917060192,3.41
7,天喻信息,300205.SZ,-1.15,2.28,50.74,587015.9,通信设备,,,,,,
8,浦东金桥,600639.SH,0.0,0.76,8.69,1042390.2,园区开发,1.4109,1583573935.75,-2.43,399.2157,11.414479214709,12.76
9,中文传媒,600373.SH,-4.76,4.79,11.6,1869987.93,出版业,,,,,,
10,陕西建工,600248.SH,6.79,19.52,5.27,867496.5,建筑工程,,,,,,
11,辽港股份,601880.SH,0.0,0.16,30.18,3031364.32,港口,0.05,1279734789.11,-33.2,-59.3268,1.611137396373,3.32
12,鼎信通讯,603421.SH,-2.55,0.84,70.0,696539.47,通信设备,,,,,,
13,宝钢股份,600019.SH,2.03,0.38,12.4,15391425.05,普钢,,,,,,
14,欧普照明,603515.SH,2.27,0.26,21.63,1459276.81,家用电器,,,,,,
15,惠泉啤酒,600573.SH,1.23,2.8,77.73,309750.0,啤酒,0.159,39848285.09,28.41,-127.8687,4.84692343104,3.33
16,阿石创,300706.SZ,-1.7,5.79,200.2,272304.68,元器件,,,,,,
17,太辰光,300570.SZ,-5.11,8.63,35.14,533229.38,通信设备,0.81,180042810.37,150.91,-46.3891,5.695152098334,14.44
18,仙琚制药,002332.SZ,2.92,1.53,19.31,1415326.6,化学制药,,,,,,
19,康弘药业,002773.SZ,0.1,1.06,17.74,1341257.97,化学制药,,,,,,
20,国泰君安,601211.SH,2.4,0.74,11.88,11439626.74,证券,1.24,11507150262.0,-23.35,49.8313,15.904034815028,7.88
21,宁波港,601018.SH,0.0,0.22,17.19,4913472.23,港口,0.25,4220128000.0,-2.58,-35.8034,3.698900834095,7.11
22,佳都科技,600728.SH,-1.24,2.92,-58.85,1243926.43,软件服务,,,,,,
23,家家悦,603708.SH,0.16,0.39,32.31,758677.92,超市连锁,,,,,,
24,拓维信息,002261.SZ,0.52,8.99,123.82,1508736.13,软件服务,,,,,,
25,康拓红外,300455.SZ,-1.45,0.81,213.37,673191.31,运输设备,,,,,,
26,鼎龙股份,300054.SZ,-1.98,3.76,66.11,2006408.41,化工原料,0.42,390026548.37,82.66,-5.0498,4.446419929202,8.97
27,内蒙一机,600967.SH,0.93,0.61,20.84,1642322.13,运输设备,,,,,,
28,济民医疗,603222.SH,1.6,2.26,65.97,637803.62,医疗保健,,,,,,
29,依顿电子,603328.SH,7.2,5.06,29.89,802747.86,元器件,0.269,268541750.59,78.31,-56.1482,3.581284298502,7.72
30,时代新材,600458.SH,2.43,1.36,25.6,912781.5,塑料,0.44,356548124.11,96.51,123.9036,6.882440662743,6.86
31,天宸股份,600620.SH,-0.4,0.29,240.19,863153.13,综合类,0.05,35935674.36,-70.8,2224.8508,2.874579784837,1.54
32,超讯通信,603322.SH,4.8,5.56,28.71,302807.32,通信设备,,,,,,
33,矩子科技,300802.SZ,1.42,2.33,57.94,477994.16,专用机械,,,,,,
34,沪农商行,601825.SH,0.86,0.24,5.15,2708353.38,银行,,,,,,
35,中国巨石,600176.SH,5.05,1.4,9.45,6244893.3,玻璃,1.6512,6610015911.86,9.65,-16.6613,6.894010955214,26.52
36,威派格,603956.SH,-1.07,0.59,-25.08,468777.4,专用机械,,,,,,
37,创维数字,000810.SZ,-3.23,2.5,27.25,2178681.0,家用电器,0.7466,823038116.06,95.13,-46.101,5.216091474576,15.61
38,中山公用,000685.SZ,0.97,0.74,11.79,911098.14,水务,,,,,,
39,宏达股份,600331.SH,0.87,1.02,117.88,709168.0,铅锌,0.0296,60158515.96,-80.33,-89.2007,0.203319978593,15.82
40,宸展光电,003019.SZ,-1.48,2.0,12.59,257328.44,元器件,,,,,,
41,盈趣科技,002925.SZ,-1.67,0.65,21.95,1472828.18,元器件,,,,,,
42,和仁科技,300550.SZ,1.99,1.16,138.79,456176.52,软件服务,,,,,,
43,苏州固锝,002079.SZ,-1.47,3.49,33.48,1227002.67,半导体,0.4601,370853895.77,70.34,204.0579,3.38080110681,14.57
44,康恩贝,600572.SH,3.34,2.55,48.8,1743040.92,中成药,0.14,358099867.71,-82.25,528.7669,2.690175490623,5.03
45,掌趣科技,300315.SZ,-4.3,4.89,63.03,1159899.78,互联网,,,,,,
46,江化微,603078.SH,-1.72,3.75,70.7,642259.82,半导体,0.4096,105779548.65,87.19,17.8527,5.524557617081,9.68
47,中国核建,601611.SH,1.03,1.03,15.65,2324620.56,建筑工程,,,,,,
48,海格通信,002465.SZ,-1.95,1.45,34.69,2266763.88,通信设备,0.29,668197698.51,2.23,162.7286,4.626465339184,6.41
49,辽宁成大,600739.SH,0.15,0.93,16.79,2054400.28,生物制药,0.8,1223554874.48,-43.34,-84.4161,18.767324538591,4.32
