,股票名称,股票代码,距离前高比例,涨跌幅,换手率,市盈率(动态),流通市值(万),所属行业,每股收益(元),净利润(元),净利润同比增长(%),净利润季度环比增长(%),每股净资产(元),净资产收益率(%)
0,中国电影,600977.SH,0.99,3.73,2.39,41.49,3015205.0,影视音像,0.097,181662559.98,56.89,184.2905,5.890817504488,1.67
1,五洲交通,600368.SH,1.03,3.11,2.54,6.12,485147.42,路桥,0.1759,198033120.33,9.85,61.4598,5.241862066575,3.41
2,中国一重,601106.SH,1.01,1.78,1.24,158.18,2359077.33,工程机械,0.0054,37283622.49,-3.62,11.3786,1.713606044342,0.3179
3,江苏有线,600959.SH,1.01,4.61,2.49,48.35,1815260.52,影视音像,0.0188,93865848.56,2.03,28.4259,4.421972074792,0.4254
4,文投控股,600715.SH,0.95,7.38,3.09,-22.24,485971.62,影视音像,-0.03,-54620158.25,31.4246588313,94.3285,0.420661821777,-6.76
5,兴蓉环境,000598.SZ,0.99,1.16,0.61,10.28,1549596.84,水务,0.1276,378860193.62,7.37,56.1063,5.078279383079,2.53
6,电广传媒,000917.SZ,0.95,7.16,3.5,85.33,891479.72,影视音像,0.0184,26123125.04,-14.44,-79.0393,7.211261588596,0.26
7,国机重装,601399.SH,0.97,0.3,1.11,73.38,1042245.48,工程机械,0.0113,81350570.58,4.14,-6.9672,1.86643696866,0.6
8,北新路桥,002307.SZ,0.99,2.57,3.91,260.45,653527.4,建筑工程,0.0057,7292380.5,-14.84,58.056,2.705455391566,0.21
9,贵研铂业,600459.SH,0.95,-0.71,0.99,20.21,1237709.8,小金属,0.21,157724122.39,-14.83,92.7217,8.049093024589,2.61
10,康尼机电,603111.SH,0.97,4.41,1.19,35.38,396256.06,运输设备,0.03,33269731.33,29.98,-66.5707,3.666047292717,0.92
11,晋西车轴,600495.SH,0.96,0.76,1.83,-70.35,483276.35,运输设备,-0.01,-17174748.84,48.8307780527,-288.1183,2.670415544601,-0.53
12,浙江东方,600120.SH,0.97,-0.25,0.8,16.0,1362737.22,多元金融,0.06,212986140.34,433.28,-66.6337,4.636926414251,1.36
13,冠农股份,600251.SH,1.0,1.74,3.63,6.21,725712.01,农业综合,0.3757,292884498.79,33.03,39.0693,4.456285422173,8.83
14,横店影视,603103.SH,0.96,6.42,0.95,17.24,1029940.8,影视音像,0.24,149348209.79,97.84,170.7883,2.087127543393,11.96
15,上港集团,600018.SH,1.01,2.32,0.17,9.39,13278515.57,港口,0.1532,3550868042.61,-35.37,111.9672,4.974628589498,3.1367
16,上海港湾,605598.SH,0.96,-0.09,4.06,50.89,176987.34,建筑工程,0.17,28527981.37,-72.88,51.812,9.001057407803,1.81
17,易事特,300376.SZ,0.95,4.03,2.86,47.05,2038339.72,电气设备,0.05,108471463.41,9.91,441.3425,2.826971256774,1.66
18,云南锗业,002428.SZ,0.96,5.71,4.34,-203.85,762868.18,小金属,-0.015,-9483526.28,-208.56,82.8703,2.141308420474,-0.68
19,中微公司,688012.SH,0.95,2.0,2.1,101.65,11196431.53,半导体,0.45,275369120.77,134.98,-26.9238,25.662804332754,1.76
20,天富能源,600509.SH,0.96,1.21,1.2,15.14,772599.48,火力发电,0.1108,127594432.5,158.11,-71.2143,5.060440364693,2.14
21,广大特材,688186.SH,0.96,1.59,1.79,26.0,754124.8,特种钢,0.34,72501358.87,247.5,219.1481,15.171630763303,2.09
22,西部建设,002302.SZ,0.97,2.26,1.89,-46.67,1141168.29,水泥,-0.0484,-61128131.75,-273.37,-121.7018,6.948825581506,-0.67
