,股票名称,股票代码,距离前高比例,涨跌幅,换手率,市盈率(动态),流通市值(万),所属行业,每股收益(元),净利润(元),净利润同比增长(%),净利润季度环比增长(%),每股净资产(元),净资产收益率(%)
0,科创新源,300731.SZ,1.0,-3.99,7.92,-109.94,234054.13,橡胶,-0.04,-5600656.92,49.83,-217.1409,4.815595908684,-0.92
1,九华旅游,603199.SH,1.0,2.44,12.7,14.82,366572.16,旅游景点,0.5589,61854357.96,1214.6926308905,521.114,11.795754730575,4.85
2,瀚蓝环境,600323.SH,1.01,0.65,0.57,13.2,1638032.42,环境保护,0.38,310134498.68,94.94,11.3025,13.715416647733,2.81
3,佳力图,603912.SH,0.98,3.78,9.55,352.42,474764.01,专用机械,0.01,4290578.56,-69.54,-72.4489,4.790360583026,0.43
4,广州酒家,603043.SH,1.0,1.93,0.77,63.02,1745557.6,食品,0.1218,69245540.45,31.87,38.1983,5.990953725253,2.06
5,特变电工,600089.SH,0.97,1.03,1.39,4.65,8784130.06,电气设备,1.2036,4724173411.12,51.34,-2.13,15.258597447883,7.9437
6,力诺特玻,301188.SZ,0.96,1.64,1.39,48.64,289311.14,玻璃,,,,,,
7,水星家纺,603365.SH,0.96,2.12,0.6,11.5,384804.81,纺织,0.32,83659513.04,-1.22,-12.6107,10.639517793078,2.98
8,日月明,300906.SZ,0.96,3.31,7.61,45.67,81542.54,电器仪表,0.1385,11079076.81,4.11,838.4038,10.44140036175,1.34
9,广电计量,002967.SZ,0.99,-0.79,1.26,-1244.8,1167229.84,电器仪表,-0.0046,-2617821.41,96.7063157291,-102.4048,6.055560710636,-0.08
10,天阳科技,300872.SZ,0.96,3.3,7.72,60.11,425667.27,软件服务,0.07,27937549.01,316.72,17.42,5.88312281536,1.2
11,海德股份,000567.SZ,0.99,1.24,0.44,22.77,1744873.02,多元金融,0.2066,192024091.31,50.84,22.3768,5.751624900067,3.66
12,博士眼镜,300622.SZ,1.0,4.44,7.63,29.0,269007.04,其他商业,0.22,37280702.91,440.97,39.8718,4.183452408412,5.3
13,宝鼎科技,002552.SZ,0.95,1.33,0.4,-70.8,389348.92,机械基件,-0.06,-28134025.82,-1814.2,34.4749,4.814131738311,-1.33
14,南大环境,300864.SZ,1.02,-0.86,11.42,20.27,93915.48,环境保护,0.3,46324642.29,27.98,60.7316,7.876052636223,3.88
15,申昊科技,300853.SZ,0.96,3.74,8.76,20.73,299444.76,专用机械,0.39,56998346.17,4093.68,445.1577,8.537492541411,4.22
16,新天然气,603393.SH,0.95,-2.71,1.91,17.16,891047.14,供气供热,0.35,146297113.59,-28.99,-27.1985,12.636727867338,2.77
