,股票名称,股票代码,涨跌幅,换手率,市盈率(动态),流通市值(万)
0,潮宏基,002345.SZ,1.49,2.07,23.16,708148.76
1,杭氧股份,002430.SZ,10.0,2.2,31.59,3743927.85
2,晶澳科技,002459.SZ,-1.26,1.06,24.06,13243123.33
3,万里石,002785.SZ,-1.41,3.25,516.99,349886.62
4,英维克,002837.SZ,-4.0,2.5,88.36,1123360.06
5,盐津铺子,002847.SZ,-0.97,0.39,57.62,1556682.78
6,小熊电器,002959.SZ,-1.56,1.1,28.93,1074684.25
7,百亚股份,003006.SZ,3.01,1.29,43.24,405510.4
8,回天新材,300041.SZ,-1.58,2.35,17.8,601348.03
9,圣邦股份,300661.SZ,-0.7,1.65,57.02,5397398.9
10,科锐国际,300662.SZ,-1.57,0.5,29.63,859318.73
11,南山智尚,300918.SZ,2.98,5.89,31.65,134883.81
12,旭光电子,600353.SH,-2.04,1.86,76.29,747312.92
13,昆药集团,600422.SH,2.97,2.83,40.5,1549529.37
14,中国汽研,601965.SH,4.13,0.93,36.52,2461641.63
15,上机数控,603185.SH,-2.01,1.06,11.12,4169558.93
16,元利科技,603217.SH,2.44,1.14,12.49,655170.06
17,普莱柯,603566.SH,1.09,3.0,62.96,1109909.16
18,石英股份,603688.SH,-1.22,2.3,45.7,4808598.55
19,安集科技,688019.SH,1.14,3.01,55.69,1669581.65
20,博众精工,688097.SH,-2.93,1.94,38.27,156453.53
21,广大特材,688186.SH,-2.39,1.46,61.1,628794.4
