,股票名称,股票代码,涨跌幅,换手率,市盈率(动态),流通市值(万),所属行业,每股收益(元),净利润(元),净利润同比增长(%),净利润季度环比增长(%),每股净资产(元),净资产收益率(%)
0,凯中精密,002823.SZ,1.98,7.38,1937.64,183820.37,机械基件,0.0,400065.98,-98.01,105.9957,4.55803833857,0.03
1,新开普,300248.SZ,-3.16,5.57,-82.61,419005.2,软件服务,-0.0319,-15186092.74,15.76,-112.3259,4.164731496653,-0.7
2,南山智尚,300918.SZ,1.18,3.58,38.55,148870.96,纺织,0.09,32058145.72,13.4,-60.229,5.105498237639,1.76
3,康普顿,603798.SH,0.99,7.73,19.12,263327.58,石油加工,0.17,34428490.17,12.33,4099.6341,5.6530265467,3.09
4,金自天正,600560.SH,-0.75,4.76,51.2,327417.01,电气设备,0.07,15986375.38,18.03,166.8177,3.952172170064,1.83
5,凤凰传媒,601928.SH,-4.2,0.82,15.02,2901186.0,出版业,0.1898,482957065.68,1.77,39.7749,6.968413484832,2.69
6,航天智装,300455.SZ,0.7,1.71,226.85,811372.69,IT设备,,,,,,
7,贝仕达克,300822.SZ,1.11,1.5,69.04,303257.94,元器件,0.0741,11854215.41,-33.1,170.7784,7.786990346614,0.96
8,百合花,603823.SH,0.4,0.75,81.83,509679.06,染料涂料,0.05,15613314.5,-76.61,-41.0697,6.815865822381,0.72
9,神州泰岳,300002.SZ,-0.85,6.8,38.53,2546871.65,互联网,0.0914,178131184.75,182.44,12.3256,2.568585686662,3.61
10,纽威股份,603699.SH,1.09,0.44,28.39,1114604.26,机械基件,0.13,98152660.23,44.01,-17.7999,4.472646755222,2.97
11,爱司凯,300521.SZ,0.16,1.43,-98.57,183886.79,专用机械,-0.0324,-4664061.35,-91.62,40.6607,3.460010512778,-0.93
12,杭州热电,605011.SH,-9.54,14.33,84.67,428451.8,供气供热,0.1,41795735.55,1.25,-10.5616,5.192649175581,2.03
13,音飞储存,603066.SH,-0.08,2.12,18.83,358137.15,仓储物流,0.1616,47538210.87,118.26,12.1248,4.352824045162,3.7
14,森霸传感,300701.SZ,-1.97,3.38,94.48,263238.68,元器件,0.03,7808822.46,-12.28,-34.1096,2.831669107074,1.03
