,股票名称,股票代码,收盘价,发散因子(倍),近期涨停数,涨跌幅,换手率,市盈率(动态),流通市值(万)
0,博通集成,603068.SH,37.63,1.53,1,0.83,6.27,-35.02,566049.15
1,金桥信息,603918.SH,20.46,1.14,2,10.0,21.62,846.68,747987.81
2,深科技,000021.SZ,20.45,1.14,3,-1.02,16.33,41.6,3190196.73
3,四川路桥,600039.SH,14.34,1.13,0,0.49,0.37,7.96,6800538.63
4,聚飞光电,300303.SZ,6.2,1.58,1,1.97,14.2,44.22,777156.58
5,兴森科技,002436.SZ,13.43,1.28,0,-0.74,2.77,43.17,2014927.54
6,格科微,688728.SH,18.71,1.3,0,-0.58,3.12,104.9,2071656.46
7,新宙邦,300037.SZ,53.82,1.6,0,-1.99,1.4,22.82,2882661.15
8,富信科技,688662.SH,38.85,1.16,2,3.32,5.59,64.06,210683.67
9,精测电子,300567.SZ,75.64,1.94,0,-0.5,4.28,109.84,1564874.29
10,中国石油,601857.SH,6.56,1.31,0,1.55,0.17,8.04,106220883.05
11,晶方科技,603005.SH,28.18,1.29,1,0.64,9.47,62.52,1837819.87
12,雅克科技,002409.SZ,65.4,1.46,2,1.71,5.97,50.38,2083133.86
13,闻泰科技,600745.SH,63.93,1.47,0,10.0,5.04,30.66,7945268.57
14,韦尔股份,603501.SH,107.99,1.53,0,0.47,2.32,129.16,12747637.2
15,新疆交建,002941.SZ,17.3,1.84,1,2.31,4.85,31.42,1107191.0
16,中国中车,601766.SH,6.75,1.33,0,1.05,0.44,16.62,16421263.68
17,新华网,603888.SH,37.72,1.22,2,10.0,8.61,80.84,1957778.75
18,中国外运,601598.SH,4.38,1.38,0,0.46,0.62,7.85,2302091.59
19,中国石化,600028.SH,6.0,1.16,0,1.87,0.27,10.85,57069282.63
20,中材国际,600970.SH,12.98,1.39,0,3.51,2.21,15.63,2261892.71
21,航锦科技,000818.SZ,38.87,1.23,0,3.49,2.07,108.55,2629102.43
22,和林微纳,688661.SH,104.0,1.42,1,-3.5,8.07,235.92,371625.79
23,至纯科技,603690.SH,42.85,1.34,0,0.8,3.7,48.8,1371333.58
24,长川科技,300604.SZ,54.31,1.34,1,2.67,4.67,76.08,2452877.64
25,永鼎股份,600105.SH,5.28,1.76,1,-4.52,11.67,68.32,729125.75
26,华工科技,000988.SZ,31.95,1.21,2,-1.69,11.37,35.46,3210929.17
27,润欣科技,300493.SZ,10.0,1.61,1,-0.89,12.82,79.81,498622.75
28,浙数文化,600633.SH,15.62,1.19,0,10.0,6.85,41.34,1977071.08
29,工商银行,601398.SH,4.55,1.31,0,0.0,0.07,4.5,122673556.71
30,山大地纬,688579.SH,19.94,1.29,3,3.37,10.96,128.51,561645.19
31,紫金矿业,601899.SH,13.43,1.43,0,3.47,1.1,17.64,27565476.88
32,亚威股份,002559.SZ,8.53,1.61,0,-2.74,10.15,33.44,412808.16
33,中国中冶,601618.SH,4.13,1.13,0,0.73,0.58,8.33,7373131.72
34,奥飞娱乐,002292.SZ,8.57,1.48,2,10.01,11.63,-780.04,835829.22
35,聚灿光电,300708.SZ,11.96,1.28,0,1.53,6.29,-102.75,443855.57
36,富瀚微,300613.SZ,79.11,1.33,0,0.3,4.82,39.27,1714807.17
37,国科微,300672.SZ,109.29,1.44,2,0.95,6.14,150.8,1904803.42
