,股票名称,股票代码,收盘价,发散因子(倍),近期涨停数,涨跌幅,换手率,市盈率(动态),流通市值(万),所属行业,每股收益(元),净利润(元),净利润同比增长(%),净利润季度环比增长(%),每股净资产(元),净资产收益率(%)
0,天舟文化,300148.SZ,6.21,1.71,0,12.3,27.47,-318.07,481550.05,互联网,-0.005,-4077298.32,30.61,98.7998,1.252189971423,-0.38
1,银星能源,000862.SZ,7.41,1.77,1,0.95,6.75,24.66,371502.49,新型电力,0.0751,53034642.96,108.81,2024.0477,4.156207257047,1.82
2,皖新传媒,601801.SH,7.92,1.61,0,10.0,3.65,11.65,1575450.15,出版业,0.17,337956726.43,12.16,373.5968,5.798439520371,2.97
3,中南传媒,601098.SH,13.86,1.91,0,3.28,2.53,17.92,2489256.0,出版业,0.19,347367324.8,28.68,5.8151,8.346473977584,2.34
4,凤凰传媒,601928.SH,13.73,1.94,0,7.69,2.97,18.09,3494147.7,出版业,0.1898,482957065.68,1.77,39.7749,6.968413484832,2.69
5,星辉娱乐,300043.SZ,5.05,2.22,2,3.7,24.23,-37.92,473562.89,文教休闲,-0.03,-41423597.48,-334.65,84.1407,1.459829081182,-2.26
6,中国科传,601858.SH,41.53,1.52,9,4.93,5.34,192.02,3282946.5,出版业,0.05,42741976.05,124.95,-77.2963,6.166022224794,0.88
7,青松建化,600425.SH,4.75,1.83,0,5.32,5.36,269.04,654925.29,水泥,0.0046,7082993.75,181.57,-58.0926,3.701384172125,0.124
8,蓝色光标,300058.SZ,13.08,2.27,3,16.79,27.38,54.77,3033318.82,广告包装,0.0597,148732537.14,355.1,106.7436,3.00653746552,1.99
9,米奥会展,300795.SZ,71.53,1.63,1,0.21,3.14,1686.18,411981.09,文教休闲,0.01,1071342.77,106.14,-98.3041,4.465371804397,0.24
10,中国重工,601989.SH,4.6,2.72,0,0.0,1.92,394.77,10158549.51,船舶,0.003,66423957.36,15.96,106.5857,3.675673388983,0.08
11,隧道股份,600820.SH,6.54,1.55,0,2.83,2.64,11.46,2056238.85,建筑工程,0.14,448718076.89,51.22,-69.0407,8.798809492252,1.63
12,盛天网络,300494.SZ,44.0,1.53,3,11.68,15.58,40.65,929954.63,互联网,0.2706,73511327.43,40.03,129.3868,5.98269005176,4.66
13,唐德影视,300426.SZ,16.27,2.48,2,9.56,12.34,-107.14,645826.94,影视音像,-0.04,-15528020.96,73.9,-114.6171,0.253629525878,-13.67
14,游族网络,002174.SZ,21.93,1.68,2,6.04,14.61,117.18,2003983.68,互联网,0.05,42849833.45,-46.4,106.0449,4.812700284432,0.95
