,股票名称,股票代码,收盘价,发散因子(倍),近期涨停数,每股收益(元),净利润(元),净利润同比增长(%),净利润季度环比增长(%),每股净资产(元),净资产收益率(%)
0,华西股份,000936.SZ,12.6,1.31,4,0.03,22172234.53,14.81,-63.8534,5.726995331514,0.44
1,长春一东,600148.SH,17.25,1.93,1,-0.072,-10145780.55,-1157.2852751594,-275.9722,3.272635838166,-2.17
2,中大力德,002896.SZ,39.41,1.46,5,0.1,15075160.48,-13.36,-36.5303,7.044406235219,1.43
3,润达医疗,603108.SH,16.91,1.18,2,0.14,81035808.45,96.09,-27.4543,6.660238327318,2.06
4,弘讯科技,603015.SH,10.3,1.71,1,0.02,9144772.26,-40.28,110.1551,3.278073556958,0.69
5,高斯贝尔,002848.SZ,10.14,1.34,1,-0.1201,-20082407.35,-141.44,42.7019,1.203145023811,-9.51
6,天通股份,600330.SH,12.45,1.8,1,0.07,86860257.09,-20.75,411.7526,6.459873821463,1.1
7,福昕软件,688095.SH,164.58,1.57,2,-0.1794,-11342591.07,-327.42,-16.8801,40.046279487683,-0.43
8,云赛智联,600602.SH,16.38,1.16,3,0.03,41665109.13,-43.22,45.5886,3.356669379359,0.912
9,天地在线,002995.SZ,43.9,1.24,8,-0.1032,-13084565.06,15.85,-238.4981,8.109571422339,-1.27
10,元隆雅图,002878.SZ,21.3,1.2,1,-0.04,-8451760.39,-109.15,11.4098,4.531623657859,-0.83
11,派斯林,600215.SH,7.76,1.43,1,0.1037,46451456.65,109.08,-55.6943,3.646148616158,2.81
12,建科机械,300823.SZ,21.85,1.69,1,0.14,13206003.62,6.6,283.3588,10.450928484865,1.36
13,光库科技,300620.SZ,72.19,1.41,4,0.0928,15499678.21,-32.46,-44.2876,10.159074993929,0.93
14,中胤时尚,300901.SZ,16.23,1.82,3,0.03,7311862.48,-31.57,-47.069,4.355495907375,0.7
15,飞龙股份,002536.SZ,15.83,1.16,3,0.14,67815767.34,678.11,160.5329,4.728728589476,2.91
16,新时达,002527.SZ,10.59,1.48,2,0.197,130036186.02,751.69,112.8293,3.056913066537,6.62
17,博迈科,603727.SH,11.8,1.68,1,-0.06,-18040348.65,-225.42,-6909.2516,11.749917012956,-0.54
18,鼎捷软件,300378.SZ,32.95,1.69,1,-0.04,-10620766.78,37.31,-112.3581,6.885852194567,-0.58
19,凯中精密,002823.SZ,11.27,1.12,1,0.0,400065.98,-98.01,105.9957,4.55803833857,0.03
20,城地香江,603887.SH,10.01,1.23,3,-0.03,-14312517.19,-143.86,-4072.8875,6.830455924178,-0.42
21,麦迪科技,603990.SH,22.03,1.25,1,-0.05,-10774232.85,-215.17,-166.6939,5.704070743442,-0.8
22,富信科技,688662.SH,72.73,1.61,4,0.03,2291226.44,-82.8,636.2901,8.228434705462,0.31
23,中马传动,603767.SH,8.17,1.35,0,0.03,8031500.36,575.68,291.9841,4.797334717592,0.55
