,股票名称,股票代码,收盘价,发散因子(倍),近期涨停数,涨跌幅,换手率,市盈率(动态),流通市值(万),所属行业
0,中马传动,603767.SH,15.46,1.21,6,6.69,21.52,147.95,475309.97,汽车配件
1,禾盛新材,002290.SZ,13.35,1.11,1,2.77,10.01,46.66,327024.71,家用电器
2,德恩精工,300780.SZ,18.02,1.32,2,-3.33,36.49,88.06,155549.86,机械基件
3,英洛华,000795.SZ,7.58,1.32,1,1.88,12.86,55.43,859332.55,矿物制品
4,优德精密,300549.SZ,28.0,1.38,4,0.14,31.02,125.54,282953.09,专用机械
5,襄阳轴承,000678.SZ,8.07,1.47,3,9.95,12.26,-42.59,370906.72,汽车配件
6,同为股份,002835.SZ,22.72,1.22,4,4.27,25.8,144.03,289184.62,IT设备
7,中成股份,000151.SZ,13.11,1.13,2,-1.58,11.45,-32.93,349439.14,商贸代理
8,德力股份,002571.SZ,6.79,1.15,3,-3.41,9.79,-16.17,202549.9,家居用品
9,上海机电,600835.SH,17.18,1.16,1,-2.39,4.68,19.02,1385574.39,运输设备
10,巨轮智能,002031.SZ,4.48,1.21,1,10.07,19.03,446.18,866348.55,汽车配件
11,华脉科技,603042.SH,25.16,1.29,5,10.01,30.45,-51.18,404044.04,通信设备
12,赛象科技,002337.SZ,6.68,1.48,1,5.03,21.23,34.06,392781.68,化工机械
13,东方通信,600776.SH,14.2,1.46,2,0.14,18.72,331.7,1362300.09,通信设备
14,中贝通信,603220.SH,17.05,1.26,1,4.73,14.52,62.73,569166.37,通信设备
