,股票名称,股票代码
0,信达证券,601059.SH
1,天娱数科,002354.SZ
2,捷荣技术,002855.SZ
3,路畅科技,002813.SZ
4,宇通重工,600817.SH
5,中航电测,300114.SZ
6,卓翼科技,002369.SZ
7,东港股份,002117.SZ
8,豪尔赛,002963.SZ
9,汉王科技,002362.SZ
10,福龙马,603686.SH
11,拓日新能,002218.SZ
12,兆威机电,003021.SZ
13,通宇通讯,002792.SZ
14,国脉科技,002093.SZ
15,金龙羽,002882.SZ
16,王力安防,605268.SH
17,海兴电力,603556.SH
18,粤泰股份,600393.SH
19,物产金轮,002722.SZ
20,联特科技,301205.SZ
21,华锋股份,002806.SZ
22,鸣志电器,603728.SH
23,上海洗霸,603200.SH
24,雷柏科技,002577.SZ
25,视觉中国,000681.SZ
26,二三四五,002195.SZ
27,三花智控,002050.SZ
28,绿的谐波,688017.SH
29,奥飞娱乐,002292.SZ
30,神思电子,300479.SZ
31,鸿博股份,002229.SZ
32,上海港湾,605598.SH
33,铖昌科技,001270.SZ
34,牧高笛,603908.SH
35,恒立实业,000622.SZ
36,上机数控,603185.SH
37,立方数科,300344.SZ
38,华盛昌,002980.SZ
39,北方国际,000065.SZ
40,中国长城,000066.SZ
41,中成股份,000151.SZ
