,股票代码,股票名称,最新价格,涨跌额,涨跌幅,成交量,振幅,最高,最低,今开,昨收,量比,换手率,市盈率(动态),市净率,成交额(万),总市值(万),流通市值(万),所在地域,所属行业,上市日期
0,300868.SZ,杰美特,27.41,4.57,20.01,249455.0,24.56,27.41,21.8,22.0,22.84,4.05,41.19,-93.64,2.17,62753.83,350848.0,165987.45,深圳,元器件,20200824
1,301255.SZ,通力科技,66.42,11.07,20.0,184959.0,22.73,66.42,53.84,54.8,55.35,2.11,68.0,103.9,7.38,112665.95,722649.6,180662.4,浙江,机械基件,20221227
2,300410.SZ,正业科技,10.38,1.73,20.0,691808.0,19.19,10.38,8.72,8.72,8.65,8.13,18.83,-30.76,6.07,68987.1,381625.58,381396.84,广东,电气设备,20141231
3,300116.SZ,保力新,1.58,0.26,19.7,4977511.0,19.7,1.58,1.32,1.33,1.32,9.77,12.13,-191.98,24.24,75260.73,699243.44,648408.08,陕西,电气设备,20100902
4,300512.SZ,中亚股份,10.18,1.26,14.13,323313.0,18.61,10.58,8.92,8.98,8.92,5.42,9.88,32.85,2.59,32004.91,418374.84,333163.65,浙江,专用机械,20160526
5,300515.SZ,三德科技,17.35,2.06,13.47,123530.0,19.16,18.15,15.22,15.35,15.29,8.67,6.85,56.31,5.19,21051.38,357063.87,313045.57,湖南,电器仪表,20160608
6,301338.SZ,凯格精机,60.76,6.56,12.1,193852.0,21.72,62.82,51.05,55.18,54.2,3.13,78.39,140.01,4.72,107812.57,646486.4,150251.92,广东,专用机械,20220816
7,300225.SZ,金力泰,9.32,0.99,11.88,544551.0,17.65,9.7,8.23,8.3,8.33,2.01,11.49,-329.68,5.94,49069.01,455939.34,441763.15,上海,染料涂料,20110531
8,301088.SZ,戎美股份,20.04,2.08,11.58,142043.0,14.48,20.5,17.9,17.91,17.96,11.18,24.41,31.43,1.81,27467.42,456912.0,116613.95,江苏,服饰,20211028
9,300579.SZ,数字认证,32.11,3.01,10.34,196424.0,17.9,34.02,28.81,29.05,29.1,5.72,7.5,685.38,9.31,63584.3,866970.0,840867.59,北京,软件服务,20161223
10,300648.SZ,星云股份,32.97,3.06,10.23,131000.0,10.97,34.3,31.02,31.02,29.91,8.17,13.75,-36.5,4.75,43417.58,487243.51,314089.84,福建,电气设备,20170425
11,002146.SZ,荣盛发展,2.16,0.2,10.2,7052615.0,9.18,2.16,1.98,1.99,1.96,3.37,18.08,-3.66,0.42,148534.46,939203.39,842458.61,河北,全国地产,20070808
