,股票代码,股票名称,今收盘价,今涨跌幅,今持-股数(万),今持-市值(万),今持-占流通股比,今持-占总股本比,今日增持-股数(万),今日增持-市值(万),今日增持-市值增幅,今日增持-占流通股比,今日增持-占总股本比,所属板块,日期
0,002475.SZ,立讯精密,31.3,6.72,58602.74,1834265.67,8.24,8.23,1413.55,43837.57,2.47,2.1,2.1,消费电子,2023-03-24
1,000725.SZ,京东方A,4.49,0.67,290672.67,1305120.28,7.82,7.61,9413.58,42138.97,3.35,2.54,2.47,光学光电子,2023-03-24
2,300059.SZ,东方财富,20.24,3.53,115703.65,2341841.8,10.43,8.76,1734.2,34898.01,1.52,1.61,1.35,互联网服务,2023-03-24
3,300124.SZ,汇川技术,69.1,1.62,59905.92,4139499.11,25.96,22.53,396.38,27211.15,0.67,1.73,1.51,电子元件,2023-03-24
4,002371.SZ,北方华创,259.01,-3.48,1989.28,515243.72,3.77,3.76,98.7,25699.46,5.22,1.82,1.81,半导体,2023-03-24
5,603501.SH,韦尔股份,93.85,2.01,10828.0,1016207.87,9.18,9.15,222.92,20568.91,2.1,1.9,1.89,半导体,2023-03-24
6,600588.SH,用友网络,25.99,4.38,28063.57,729372.16,8.21,8.17,803.24,20444.32,2.95,2.4,2.39,软件开发,2023-03-24
7,600406.SH,国电南瑞,27.58,2.26,119207.18,3287734.04,17.95,17.81,740.02,20344.39,0.62,1.14,1.13,电网设备,2023-03-24
8,000338.SZ,潍柴动力,11.55,-2.12,43404.52,501322.2,8.6,4.97,1669.44,19262.45,4.0,3.23,1.87,汽车零部件,2023-03-24
9,002459.SZ,晶澳科技,55.96,2.15,8356.49,467629.13,3.57,3.55,346.62,19084.63,4.33,1.49,1.48,光伏设备,2023-03-24
10,600309.SH,万华化学,95.6,-1.55,30573.37,2922814.61,9.74,9.74,195.99,18765.51,0.65,0.62,0.62,化学制品,2023-03-24
11,002241.SZ,歌尔股份,22.49,1.53,10846.22,243931.41,3.61,3.17,813.18,18258.13,8.11,2.74,2.41,消费电子,2023-03-24
12,603986.SH,兆易创新,117.9,1.06,2862.17,337449.75,4.32,4.29,150.61,17715.26,5.55,2.29,2.28,半导体,2023-03-24
13,600570.SH,恒生电子,47.4,3.2,34618.34,1640909.24,18.22,18.22,354.35,16569.25,1.03,1.9,1.9,软件开发,2023-03-24
14,600183.SH,生益科技,19.85,1.22,13957.34,277053.29,6.0,6.0,744.75,14921.28,5.64,3.27,3.27,电子元件,2023-03-24
15,600426.SH,华鲁恒升,32.98,-5.15,15513.67,511640.97,7.35,7.31,421.44,14160.35,2.79,1.93,1.92,化学原料,2023-03-24
16,601985.SH,中国核电,6.56,-2.96,33389.34,219034.06,1.77,1.77,2139.43,14135.65,6.85,1.11,1.11,电力行业,2023-03-24
17,002439.SZ,启明星辰,32.35,-4.01,13515.81,437236.46,18.66,14.19,426.19,13802.49,3.26,5.65,4.3,软件开发,2023-03-24
18,601888.SH,中国中免,186.32,0.95,22834.89,4254596.78,11.7,11.04,72.86,13566.32,0.32,0.38,0.36,旅游酒店,2023-03-24
19,603688.SH,石英股份,116.65,-5.88,654.02,76291.63,1.81,1.81,113.36,12957.3,20.97,2.89,2.89,非金属材料,2023-03-24
20,600563.SH,法拉电子,146.35,-2.03,2056.15,300917.38,9.14,9.14,85.68,12672.93,4.35,3.77,3.77,电子元件,2023-03-24
21,300750.SZ,宁德时代,393.58,-1.2,21131.72,8317022.12,9.8,8.65,31.4,12398.74,0.15,0.14,0.13,电池,2023-03-24
22,000100.SZ,TCL科技,4.6,0.0,78148.99,359485.35,5.72,4.58,2692.52,12305.9,3.57,1.96,1.57,光学光电子,2023-03-24
23,000938.SZ,紫光股份,31.63,1.18,8557.71,270680.52,2.99,2.99,391.67,12285.16,4.8,1.37,1.37,互联网服务,2023-03-24
24,600536.SH,中国软件,70.9,0.35,1549.01,109824.5,2.41,2.34,171.47,12107.94,12.45,2.67,2.59,互联网服务,2023-03-24
25,002027.SZ,分众传媒,6.65,-0.3,273318.18,1817565.93,18.93,18.93,1742.48,11617.61,0.64,1.21,1.21,文化传媒,2023-03-24
26,600584.SH,长电科技,33.4,-1.27,6587.36,220017.75,3.7,3.7,331.22,11079.57,5.29,1.84,1.84,半导体,2023-03-24
27,600745.SH,闻泰科技,56.58,0.16,3643.82,206167.35,2.93,2.93,190.81,10759.15,5.53,1.53,1.53,消费电子,2023-03-24
28,688012.SH,中微公司,128.14,-4.28,1949.32,249786.3,3.16,3.16,81.96,10608.94,4.39,1.29,1.29,半导体,2023-03-24
29,002384.SZ,东山精密,29.79,-0.6,7621.82,227053.96,5.48,4.46,354.4,10508.05,4.88,2.52,2.05,电子元件,2023-03-24
30,600028.SH,中国石化,5.52,-3.16,122511.09,676261.22,1.29,1.02,1891.92,10465.73,1.57,0.19,0.15,石油行业,2023-03-24
31,000999.SZ,华润三九,51.29,-4.56,4417.47,226571.82,4.51,4.47,199.76,10346.88,4.74,1.97,1.95,中药,2023-03-24
32,300433.SZ,蓝思科技,13.88,2.36,14730.78,204463.21,2.97,2.96,728.54,10049.26,5.2,1.49,1.49,消费电子,2023-03-24
33,600989.SH,宝丰能源,14.73,-1.54,14307.79,210753.75,1.95,1.95,642.81,9516.92,4.7,0.87,0.87,化学原料,2023-03-24
34,000661.SZ,长春高新,167.37,-0.16,1517.68,254014.24,3.78,3.75,56.27,9488.23,3.85,1.41,1.4,生物制品,2023-03-24
35,002841.SZ,视源股份,82.15,-1.86,2012.27,165307.64,4.23,2.87,112.06,9409.9,5.9,2.36,1.6,消费电子,2023-03-24
36,600522.SH,中天科技,18.08,3.67,26978.14,487764.69,7.9,7.9,525.27,9369.22,1.99,1.57,1.57,通信设备,2023-03-24
37,600095.SH,湘财股份,10.16,4.31,2275.7,23121.12,2.01,0.8,897.93,9182.69,65.17,8.34,3.3,证券,2023-03-24
38,002056.SZ,横店东磁,20.0,0.05,7537.63,150752.6,4.7,4.63,453.07,9053.48,6.4,2.82,2.78,小金属,2023-03-24
39,002601.SZ,龙佰集团,19.65,2.29,12616.32,247910.7,7.65,5.28,454.0,8860.77,3.73,2.8,1.93,化学原料,2023-03-24
40,601012.SH,隆基绿能,40.05,1.37,116219.73,4654600.35,15.34,15.33,218.07,8708.63,0.19,0.29,0.29,光伏设备,2023-03-24
