,股票代码,股票名称,最新价格,涨跌幅,成交额（亿）,流通市值（亿）,换手率（%）,连板天数,首次封板时间,最终封板时间,封板资金（亿）,炸板次数,所属行业,涨停统计,封成比
0,002377.SZ,国创高新,3.71,10.09,0.46,33.98,1.35,4, 09:25:00, 09:25:00,4.94,0,房地产服,4天4板,10.81
1,601099.SH,太平洋,4.0,9.89,3.03,272.65,1.11,2, 09:25:02, 09:25:02,15.23,0,证券,5天4板,5.03
2,600266.SH,城建发展,7.47,10.01,1.16,168.56,0.69,2, 09:25:02, 09:25:02,1.15,0,房地产开,5天3板,0.99
3,300169.SZ,天晟新材,6.76,20.07,2.05,20.4,10.03,2, 09:25:03, 09:25:03,0.36,0,化学制品,2天2板,0.18
4,000572.SZ,海马汽车,5.68,10.08,5.87,93.27,6.37,3, 09:30:33, 09:32:09,1.22,1,汽车整车,3天3板,0.21
5,002961.SZ,瑞达期货,18.01,10.02,4.0,80.15,5.02,2, 09:31:12, 13:19:15,0.15,7,多元金融,2天2板,0.04
6,002824.SZ,和胜股份,21.6,9.98,2.27,40.76,5.65,1, 09:32:27, 10:14:57,0.39,3,有色金属,1天1板,0.17
7,600127.SH,金健米业,8.47,10.0,8.62,54.36,15.93,1, 09:33:21, 11:25:06,0.35,9,农牧饲渔,1天1板,0.04
8,300995.SZ,奇德新材,26.09,20.01,1.51,7.59,20.57,1, 09:33:51, 09:33:51,0.4,0,塑料制品,1天1板,0.26
9,600153.SH,建发股份,11.2,10.02,9.99,318.57,3.15,1, 09:34:55, 14:33:07,0.07,20,贸易行业,1天1板,0.01
10,600322.SH,天房发展,2.51,10.09,2.02,27.75,7.45,1, 09:35:21, 09:35:21,0.55,0,房地产开,7天4板,0.27
11,600743.SH,华远地产,2.15,10.26,2.08,50.44,4.23,1, 09:36:11, 09:36:11,0.43,0,房地产开,5天3板,0.21
12,601677.SH,明泰铝业,15.77,9.97,8.43,152.94,5.58,1, 09:37:26, 10:08:59,0.68,5,有色金属,1天1板,0.08
13,600748.SH,上实发展,5.07,9.98,2.12,93.52,2.35,1, 09:39:42, 09:39:42,0.72,0,房地产开,1天1板,0.34
14,000980.SZ,众泰汽车,4.4,10.0,13.94,188.65,7.6,1, 09:40:03, 09:40:03,1.67,0,汽车整车,1天1板,0.12
15,603613.SH,国联股份,38.28,10.0,10.44,276.51,3.82,1, 09:45:15, 13:18:42,0.43,7,互联网服,1天1板,0.04
16,002229.SZ,鸿博股份,33.33,10.0,14.12,164.37,8.89,1, 09:46:12, 09:46:12,1.35,0,造纸印刷,6天3板,0.1
17,002652.SZ,扬子新材,3.17,10.07,1.01,16.22,6.35,1, 09:46:39, 09:46:39,0.58,0,装修建材,1天1板,0.57
18,601007.SH,金陵饭店,10.03,9.98,3.32,39.12,8.63,1, 09:47:42, 10:15:48,0.31,3,旅游酒店,1天1板,0.09
19,002208.SZ,合肥城建,7.89,10.04,4.03,49.1,8.37,1, 09:58:00, 10:00:45,0.32,2,房地产开,1天1板,0.08
20,600369.SH,西南证券,4.74,9.98,19.38,299.34,6.63,2, 09:58:17, 11:20:20,1.12,2,证券,2天2板,0.06
21,000656.SZ,金科股份,2.54,9.96,32.83,134.89,25.24,1, 10:05:00, 10:32:45,1.82,6,房地产开,7天5板,0.06
22,000961.SZ,中南建设,2.38,10.19,14.36,90.7,16.38,1, 10:06:15, 10:42:51,0.66,4,房地产开,7天4板,0.05
23,300778.SZ,新城市,20.96,19.98,4.91,42.66,12.4,1, 10:08:27, 10:08:27,0.92,0,工程咨询,1天1板,0.19
24,000010.SZ,美丽生态,3.15,10.14,3.56,16.45,22.58,2, 10:10:15, 10:10:15,0.32,0,工程建设,5天3板,0.09
25,601086.SH,国芳集团,7.67,10.04,5.74,51.08,11.75,4, 10:14:55, 10:14:55,0.71,0,商业百货,8天5板,0.12
26,000721.SZ,西安饮食,15.3,9.99,15.32,66.94,23.58,1, 10:19:12, 10:25:36,0.85,3,旅游酒店,1天1板,0.06
27,002269.SZ,美邦服饰,2.1,9.95,5.63,52.76,11.17,1, 10:32:30, 10:36:39,0.41,2,纺织服装,8天4板,0.07
28,603116.SH,红蜻蜓,7.37,10.0,3.85,42.47,9.33,2, 10:33:49, 14:52:01,0.03,6,纺织服装,2天2板,0.01
29,002146.SZ,荣盛发展,3.04,10.14,27.18,118.57,23.81,2, 10:53:36, 14:55:57,0.07,12,房地产服,18天9板,0.0
30,000719.SZ,中原传媒,10.77,10.01,2.97,71.85,4.29,1, 11:09:06, 11:09:06,0.49,0,文化传媒,1天1板,0.16
31,002830.SZ,名雕股份,14.87,9.99,0.66,9.94,6.82,1, 11:14:03, 11:14:03,0.21,0,装修装饰,1天1板,0.31
32,000419.SZ,通程控股,6.53,9.93,2.61,35.48,7.6,1, 13:00:12, 13:01:30,0.92,1,商业百货,1天1板,0.35
33,600280.SH,中央商场,5.71,10.02,10.77,64.43,17.86,2, 13:00:30, 13:02:45,0.31,1,商业百货,12天8板,0.03
34,002630.SZ,华西能源,2.86,10.0,4.91,29.42,17.1,1, 13:06:36, 13:34:06,0.55,1,电源设备,1天1板,0.11
35,002336.SZ,人人乐,18.66,10.02,9.62,69.63,14.44,1, 13:09:30, 14:30:00,0.3,2,商业百货,9天5板,0.03
36,000882.SZ,华联股份,2.15,10.26,5.08,58.85,8.99,1, 13:12:12, 13:12:12,0.7,0,商业百货,1天1板,0.14
37,603616.SH,韩建河山,6.15,10.02,2.35,23.45,10.48,1, 13:32:52, 13:32:52,0.21,0,水泥建材,1天1板,0.09
38,600824.SH,益民集团,4.16,10.05,1.8,43.85,4.23,1, 13:40:07, 13:40:07,0.46,0,商业百货,1天1板,0.26
39,603868.SH,飞科电器,77.26,9.99,1.79,336.54,0.57,1, 14:08:33, 14:09:57,0.06,1,家电行业,1天1板,0.03
40,600682.SH,南京新百,9.09,10.05,3.28,105.9,3.2,1, 14:24:01, 14:47:34,0.16,6,商业百货,1天1板,0.05
41,002561.SZ,徐家汇,11.35,9.98,7.27,46.79,16.34,1, 14:27:36, 14:27:36,0.58,0,商业百货,1天1板,0.08
42,605188.SH,国光连锁,12.36,9.96,4.61,61.25,8.02,1, 14:30:05, 14:32:08,0.03,1,商业百货,8天5板,0.01
43,603196.SH,日播时尚,21.03,9.99,2.83,50.02,6.06,1, 14:47:16, 14:47:16,0.19,0,纺织服装,1天1板,0.07
44,001234.SZ,泰慕士,33.1,10.0,1.87,9.62,20.33,1, 14:53:57, 14:53:57,0.01,0,纺织服装,1天1板,0.0
45,301505.SZ,苏州规划,71.72,19.99,8.31,14.14,65.75,1, 14:56:12, 14:56:27,0.1,1,工程咨询,4天2板,0.01
