,日期,股票代码,开盘价,收盘价,最高价,最低价,成交量,成交金额,振幅,涨跌幅,涨跌额,换手率
0,2022-08-08,301121SZ,89.05,88.77,90.0,79.8,119372,997226928.0,16.7,45.36,27.7,71.11
1,2022-08-09,301121SZ,85.4,101.92,106.88,83.21,105770,958377835.0,26.66,14.81,13.15,63.01
2,2022-08-10,301121SZ,95.0,94.99,100.0,92.2,57857,554273470.0,7.65,-6.8,-6.93,34.47
3,2022-08-11,301121SZ,92.1,103.2,108.89,91.03,63424,636696061.0,18.8,8.64,8.21,37.78
4,2022-08-12,301121SZ,100.88,100.0,107.74,94.5,47821,479220296.0,12.83,-3.1,-3.2,28.49
5,2022-08-15,301121SZ,97.98,98.2,102.5,95.95,31667,311502305.0,6.55,-1.8,-1.8,18.86
6,2022-08-16,301121SZ,97.5,100.86,104.87,94.8,28296,283466426.0,10.25,2.71,2.66,16.86
7,2022-08-17,301121SZ,98.39,108.6,115.49,96.5,32008,341098158.0,18.83,7.67,7.74,19.07
8,2022-08-18,301121SZ,109.07,117.91,118.8,109.0,29918,344330281.0,9.02,8.57,9.31,17.82
9,2022-08-19,301121SZ,119.12,109.6,122.49,107.88,39968,450315825.0,12.39,-7.05,-8.31,23.81
10,2022-08-22,301121SZ,106.92,103.1,113.0,102.9,29684,320640369.0,9.22,-5.93,-6.5,17.68
11,2022-08-23,301121SZ,101.0,100.0,103.58,98.71,26852,269651598.0,4.72,-3.01,-3.1,16.0
12,2022-08-24,301121SZ,101.1,94.4,101.99,90.0,28475,270573731.0,11.99,-5.6,-5.6,16.96
13,2022-08-25,301121SZ,92.51,86.39,93.9,85.0,27076,238559819.0,9.43,-8.49,-8.01,16.13
14,2022-08-26,301121SZ,86.36,79.2,86.55,78.7,28046,229446569.0,9.09,-8.32,-7.19,16.71
15,2022-08-29,301121SZ,77.01,80.07,84.48,77.0,24087,194531058.0,9.44,1.1,0.87,14.35
16,2022-08-30,301121SZ,80.29,78.86,80.9,76.39,20489,160433015.0,5.63,-1.51,-1.21,12.21
17,2022-08-31,301121SZ,78.06,74.02,79.65,73.0,15698,118699202.0,8.43,-6.14,-4.84,9.35
18,2022-09-01,301121SZ,74.4,73.0,75.38,72.47,12558,92767769.0,3.93,-1.38,-1.02,7.48
19,2022-09-02,301121SZ,72.99,74.58,75.97,72.25,15465,115680904.0,5.1,2.16,1.58,9.21
